
Statistical table extracted on October 25, 2024 (09:35:52)
http://www.ine.pt



Data reference period;Geographic localization;Disembarked passengers (No.) in airports by Geographic localization, Type of traffic and Nature of traffic -  Monthly;
;;Type of traffic;
;;Total;
;;Nature of traffic;
;;Total;
;;No. ;
January 1972;LPPT: Lisboa;63839;
December 1971;LPPT: Lisboa;66696;
November 1971;LPPT: Lisboa;61462;
October 1971;LPPT: Lisboa;93871;
September 1971;LPPT: Lisboa;113231;
August 1971;LPPT: Lisboa;112069;
July 1971;LPPT: Lisboa;127082;
June 1971;LPPT: Lisboa;95250;
May 1971;LPPT: Lisboa;95384;
April 1971;LPPT: Lisboa;88557;
March 1971;LPPT: Lisboa;72190;
February 1971;LPPT: Lisboa;51437;
January 1971;LPPT: Lisboa;53342;
December 1970;LPPT: Lisboa;57341;
November 1970;LPPT: Lisboa;56631;
October 1970;LPPT: Lisboa;84046;
September 1970;LPPT: Lisboa;101109;
August 1970;LPPT: Lisboa;102567;
July 1970;LPPT: Lisboa;111157;
June 1970;LPPT: Lisboa;83944;
May 1970;LPPT: Lisboa;85077;
April 1970;LPPT: Lisboa;73976;
March 1970;LPPT: Lisboa;70177;
February 1970;LPPT: Lisboa;45095;
January 1970;LPPT: Lisboa;43036;
December 1969;LPPT: Lisboa;48971;
November 1969;LPPT: Lisboa;46005;
October 1969;LPPT: Lisboa;67194;
September 1969;LPPT: Lisboa;79907;
August 1969;LPPT: Lisboa;85732;
July 1969;LPPT: Lisboa;90981;
June 1969;LPPT: Lisboa;72624;
May 1969;LPPT: Lisboa;67807;
April 1969;LPPT: Lisboa;63093;
March 1969;LPPT: Lisboa;53719;
February 1969;LPPT: Lisboa;39029;
January 1969;LPPT: Lisboa;36198;
December 1968;LPPT: Lisboa;39410;
November 1968;LPPT: Lisboa;37159;
October 1968;LPPT: Lisboa;56408;
September 1968;LPPT: Lisboa;67763;
August 1968;LPPT: Lisboa;69477;
July 1968;LPPT: Lisboa;72553;
June 1968;LPPT: Lisboa;60734;
May 1968;LPPT: Lisboa;57429;
April 1968;LPPT: Lisboa;57491;
March 1968;LPPT: Lisboa;42917;
February 1968;LPPT: Lisboa;31319;
January 1968;LPPT: Lisboa;31495;
December 1967;LPPT: Lisboa;32464;
November 1967;LPPT: Lisboa;32686;
October 1967;LPPT: Lisboa;52577;
September 1967;LPPT: Lisboa;63360;
August 1967;LPPT: Lisboa;63684;
July 1967;LPPT: Lisboa;66124;
June 1967;LPPT: Lisboa;54789;
May 1967;LPPT: Lisboa;60497;
April 1967;LPPT: Lisboa;46401;
March 1967;LPPT: Lisboa;39630;
February 1967;LPPT: Lisboa;25710;
January 1967;LPPT: Lisboa;26726;
December 1966;LPPT: Lisboa;27699;
